Observatoire des territoires - ANCT; ; ; ; ; ; ; ; ; 
Référentiel géographique : Communes (2024); ; ; ; ; ; ; ; ; 
Code;Libellé;Nombre d'Arrêtés de Catastrophes Naturelles publiés au J.O.;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Superficie 2021;Consommation d'espaces naturels, agricoles et forestiers (ENAF) entre le 1er janvier 2009 et le 1er janvier 2023
01274;Les Neyrolles;1;N/A - résultat non disponible;9;0;77.9;13;9.5;1.7
01275;Neyron;4;-57.3;46.9;0;9.2;42;5.4;9.8
01276;Niévroz;4;18;19.9;0;10.2;66.3;10.5;18.9
01277;Nivollet-Montgriffon;1;6.3;0;0;51;49;8.2;1.2
01279;Oncieu;1;-2.1;0.2;0;95.4;4.4;7.8;0.2
01280;Ordonnaz;1;-2.4;0;0;62.8;37.2;14.9;1.4
01281;Ornex;0;-11.8;31;0;13.8;55.2;5.6;13.5
01282;Outriaz;1;32.4;4.8;0;58.7;36.5;5.9;3.8
01283;Oyonnax;7;3.4;23.5;0;60.3;16.3;36.2;58.9
01284;Ozan;4;23;6.6;0;13.1;80.3;6.6;15.7
01285;Parcieux;9;43.8;24.5;0;6;64.7;3.1;3.8
01286;Parves et Nattages;3;0;5.4;0;41.6;51.2;15.9;9.6
01288;Péron;2;24.2;5.7;0;55.9;38.4;26;21.8
01289;Péronnas;8;4.6;22.9;0;36.7;36.3;17.6;34.4
01290;Pérouges;2;49.8;9.5;0;3;87.5;19;9.4
01291;Perrex;6;-4.7;8.6;0;7.3;84.1;11.1;12.2
01293;Peyriat;0;67.4;4.1;0;51.3;44.6;6;0.6
01294;Peyrieu;2;-3.7;7;0;36.1;51;14.1;20.1
01295;Peyzieux-sur-Saône;3;8.9;3.9;0;17.3;77.6;8.7;5.3
01296;Pirajoux;1;-26.3;0;0;12.6;87.4;13;6.3
01297;Pizay;1;-31.1;3.6;0;42.4;54;11.2;5.3
01298;Plagne;1;-3.7;0;0;71.1;28.9;6.2;1.3
01299;Le Plantay;1;43;2.7;0;7.7;71.6;20;2.5
01301;Polliat;2;3.1;10.9;0;14.3;74.8;20.1;25.6
01302;Pollieu;0;300;0;35.9;24.2;34.2;3.7;1.3
01303;Poncin;4;15.6;7.5;0;48.8;39.4;19.8;7.8
01304;Pont-d'Ain;5;-14.7;28.6;0;8.8;52.4;11.2;49
01305;Pont-de-Vaux;17;-38.7;25.3;0;0;69.7;7.5;10
01306;Pont-de-Veyle;4;16.9;27.5;0;0;72.5;1.9;1
01307;Port;5;N/A - résultat non disponible;14.2;0;59.6;25.7;4.2;1.7
01308;Pougny;1;-30.2;11.8;9.7;26.6;46.4;7.8;2.6
01309;Pouillat;2;117.5;0;0;64;36;6.2;0.3
01310;Prémeyzel;1;9.9;3.4;5.1;60.7;30.7;7.6;0.9
01311;Prémillieu;1;1;0;0;74.5;25.5;8.5;0.2
01313;Prévessin-Moëns;2;-13.2;31.6;0;10.7;57.7;12.1;28.2
01314;Priay;8;39.3;8.3;0;48.1;38.4;15.8;14.8
01317;Ramasse;0;709.1;0;0;66.1;33.9;9.9;4.4
01318;Rancé;4;-24.9;7.8;0;12.1;80.2;9.5;7.6
01319;Relevant;2;-31.8;2.3;0;4.6;88.4;12.4;3.7
01320;Replonges;9;-12.4;23.3;0;4.1;69.4;16.6;31.5
01321;Revonnas;2;5;8;0;33.2;58.8;7.8;4.4
01322;Reyrieux;9;-7.3;23;0;8.4;67.3;15.7;33.1
01323;Reyssouze;5;23;7.8;0;3.1;87.4;9.5;16.5
01325;Rignieux-le-Franc;2;24.4;3.3;0;26.7;66.7;15;8.7
01328;Romans;0;24.4;1.1;0;13.5;85.4;22.3;5
01329;Rossillon;2;N/A - résultat non disponible;0.2;0;78.6;21.1;8.1;1
01330;Ruffieu;1;-62.4;2.1;0;62.5;35.5;14;0.4
01331;Saint-Alban;1;3.7;3.2;0;52.7;44.1;8.1;0.9
01332;Saint-André-de-Bâgé;2;-39.1;34.4;0;0;65.6;2.7;13.3
01333;Saint-André-de-Corcy;4;-21.8;9.4;0;14.1;70.9;20.7;15.2
01334;Saint-André-d'Huiriat;1;-42.6;2.9;0;0.6;96.5;9;7.2
01335;Saint-André-le-Bouchoux;0;-43.6;3.4;0;7.5;68.8;9.3;1.8
01336;Saint-André-sur-Vieux-Jonc;2;6.3;3.1;0;17.9;77.1;24.2;8
01337;Saint-Bénigne;11;-0.7;8.7;0;1.1;88.5;16.5;20.9
01338;Groslée-Saint-Benoit;3;-0.7;4.1;0;55.8;34.7;28.9;10.7
01339;Saint-Bernard;12;-91.5;47.6;0;1.6;38.4;3.1;9.3
01342;Sainte-Croix;0;-3.4;3.4;0;34.3;62.3;10.6;1.3
01343;Saint-Cyr-sur-Menthon;6;12.6;9.5;0;4;86.5;16.9;16.3
01344;Saint-Denis-lès-Bourg;6;6.1;30.1;0;2.7;63.3;12.6;36.2
01345;Saint-Denis-en-Bugey;4;N/A - résultat non disponible;46.2;0;14.8;39.1;2.6;4.1
01346;Saint-Didier-d'Aussiat;2;-24.7;4.3;0;5.8;89.8;15.2;6.9
01347;Saint-Didier-de-Formans;9;-14.2;23.8;0;0;76.2;6.5;22.2
01348;Saint-Didier-sur-Chalaronne;10;-9;10.4;0;0;86.5;25;16
01349;Saint-Éloi;0;25.5;0.2;0;36;62.7;14.3;6.4
01350;Saint-Étienne-du-Bois;11;-1.5;4.4;0;21.9;73.7;28.4;19.9
01351;Saint-Étienne-sur-Chalaronne;8;-5.2;5.2;0;8.7;86.1;21;10
01352;Saint-Étienne-sur-Reyssouze;7;5.9;0;0;5.9;94.1;13.8;6.6
01353;Sainte-Euphémie;4;56.9;17.7;0;9;73.3;4.6;11.5
01354;Saint-Genis-Pouilly;2;-67.3;49.2;0;5.2;45.6;9.8;67.2
01355;Saint-Genis-sur-Menthon;3;-25.9;5;0;4.4;90.6;11.6;3.2
01356;Saint-Georges-sur-Renon;0;-73.8;0;0;13.7;86.2;5.7;0.9
01357;Saint-Germain-de-Joux;2;N/A - résultat non disponible;3.5;0;78.1;18.4;11.3;2.2
01358;Saint-Germain-les-Paroisses;2;43.1;2;0;65.5;32.5;16.3;2.9
01359;Saint-Germain-sur-Renon;1;-38;0;0;15;71.2;15.8;2.9
01360;Saint-Jean-de-Gonville;1;-30;12.1;0;53.3;34.6;12.4;12.7
01361;Saint-Jean-de-Niost;1;-2.8;10.9;0;27.9;56.5;14.2;10.9
01362;Saint-Jean-de-Thurigneux;3;28.5;6.1;0;15.7;74.2;16;19.8
01363;Saint-Jean-le-Vieux;9;-8.8;12.4;0;24.9;62.2;15.3;10.2
01364;Saint-Jean-sur-Reyssouze;5;8.2;1.6;0;8.3;90.1;27.5;10
01365;Saint-Jean-sur-Veyle;5;-1.4;11.5;0;2.2;86.2;11.2;10.5
01366;Sainte-Julie;1;-5.8;14.1;0;10.5;75.3;11.2;10.2
01367;Saint-Julien-sur-Reyssouze;4;32;6.9;0;0.5;92.6;7.5;3
01368;Saint-Julien-sur-Veyle;1;24.7;4.8;0;5.4;89.7;9.8;15.1
01369;Saint-Just;0;51.3;25.9;0;12.8;61.3;3.4;8.8
01370;Saint-Laurent-sur-Saône;6;N/A - résultat non disponible;54.9;0;0;17.2;0.5;0
01371;Saint-Marcel;0;73.6;4.5;0;5.7;64.2;11.6;5.5
